id,balls_per_over,team,team_1,gender,season,date,event,match_number,venue,city,toss_winner,toss_decision,player_of_match,umpire,umpire_2,reserve_umpire,tv_umpire,match_referee,winner,winner_runs,winner_wickets,Column1
648683,6,South Africa,Australia,male,2013/14,14-03-14,Australia in South Africa T20I Series,3,SuperSport Park,Centurion,Australia,field,MA Starc,JD Cloete,S George,KH Hurter,AT Holdstock,BC Broad,Australia,,6,2.1.0
649101,6,Pakistan,South Africa,male,2013/14,13-11-13,Pakistan v South Africa T20I Series,1,Dubai International Cricket Stadium,,Pakistan,bat,DW Steyn,Ahsan Raza,Shozab Raza,Ahmed Shahab,Zameer Haider,RS Madugalle,South Africa,,9,2.1.0
649103,6,Pakistan,South Africa,male,2013/14,15-11-13,Pakistan v South Africa T20I Series,2,Dubai International Cricket Stadium,,South Africa,bat,F du Plessis,Ahsan Raza,Zameer Haider,Qaiser Waheed,,RS Madugalle,South Africa,6,,2.1.0
657631,6,Afghanistan,Pakistan,male,2013/14,08-12-13,,,Sharjah Cricket Stadium,,Afghanistan,bat,Mohammad Hafeez,Ahsan Raza,Shozab Raza,Ahmed Shahab,Zameer Haider,DC Boon,Pakistan,,6,2.1.0
657633,6,Pakistan,Sri Lanka,male,2013/14,11-12-13,Pakistan v Sri Lanka T20I Series,1,Dubai International Cricket Stadium,,Pakistan,field,Shahid Afridi,Ahsan Raza,Shozab Raza,Ahmed Shahab,Zameer Haider,DC Boon,Pakistan,,3,2.1.0
657635,6,Pakistan,Sri Lanka,male,2013/14,13-12-13,Pakistan v Sri Lanka T20I Series,2,Dubai International Cricket Stadium,,Pakistan,field,MDKJ Perera,Ahsan Raza,Zameer Haider,Ahmed Shahab,Shozab Raza,DC Boon,Sri Lanka,24,,2.1.0
659545,6,Zimbabwe,Pakistan,male,2013,23-08-13,Pakistan in Zimbabwe T20I Series,1,Harare Sports Club,,Zimbabwe,field,Ahmed Shehzad,O Chirombe,TJ Matibiri,L Rusere,RB Tiffin,JJ Crowe,Pakistan,25,,2.1.0
659547,6,Zimbabwe,Pakistan,male,2013,24-08-13,Pakistan in Zimbabwe T20I Series,2,Harare Sports Club,,Zimbabwe,field,Ahmed Shehzad,O Chirombe,RB Tiffin,I Chabi,TJ Matibiri,JJ Crowe,Pakistan,19,,2.1.0
660107,6,Afghanistan,Netherlands,male,2013/14,15-11-13,ICC World Twenty20 Qualifier,8,Sharjah Cricket Stadium,Sharjah,Afghanistan,bat,PW Borren,S Ravi,M Hawthorne,BB Pradhan,,DT Jukes,Netherlands,,7,2.1.0
660113,6,Canada,Ireland,male,2013/14,16-11-13,ICC World Twenty20 Qualifier,11,Sheikh Zayed Stadium,Abu Dhabi,Canada,field,A Bagai,MA Gough,REJ Martinesz,IN Ramage,,D Govindjee,Ireland,2,,2.1.0
660123,6,Afghanistan,Scotland,male,2013/14,16-11-13,ICC World Twenty20 Qualifier,16,Sharjah Cricket Stadium,,Afghanistan,bat,Dawlat Zadran,CB Gaffaney,AT Holdstock,Iftikhar Ali,,GF Labrooy,Afghanistan,17,,2.1.0
660149,6,Kenya,Scotland,male,2013/14,19-11-13,ICC World Twenty20 Qualifier,29,ICC Academy,Dubai,Kenya,bat,RG Aga,AT Holdstock,S Ravi,BB Pradhan,,GF Labrooy,Kenya,92,,2.1.0
660173,6,Netherlands,Scotland,male,2013/14,22-11-13,ICC World Twenty20 Qualifier,41,ICC Academy,Dubai,Netherlands,field,RML Taylor,M Hawthorne,S Ravi,Sarika Prasad,,GF Labrooy,Scotland,15,,2.1.0
660185,6,Kenya,Netherlands,male,2013/14,23-11-13,ICC World Twenty20 Qualifier,47,ICC Academy,Dubai,Netherlands,bat,Mudassar Bukhari,AT Holdstock,Sarika Prasad,S Ravi,,GF Labrooy,Netherlands,29,,2.1.0
660203,6,Afghanistan,Kenya,male,2013/14,24-11-13,ICC World Twenty20 Qualifier,56,Sharjah Cricket Stadium,,Afghanistan,bat,Samiullah Shenwari,BB Pradhan,Sarika Prasad,JD Ward,,GF Labrooy,Afghanistan,34,,2.1.0
